moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
Chicken Littlew79wNov 4, 2005w150000000.0w135386665.0w310043823
Mission: Impossible IIIw80wMay 5, 2006w150000000.0w133501348.0w397501348
Angels & Demonsw81wMay 15, 2009w150000000.0w133375846.0w490875846
Troyw82wMay 14, 2004w150000000.0w133298577.0w484161265
The Last Airbenderw83wJul 1, 2010w150000000.0w131772187.0w319713881
Bee Moview84wNov 2, 2007w150000000.0w126631277.0w287594577
G-Forcew85wJul 24, 2009w150000000.0w119436770.0w292817841
Boltw86wNov 21, 2008w150000000.0w114053579.0w328015029
Wrath of the Titansw87wMar 30, 2012w150000000.0w83670083.0w305270083
"Beowulf"w88wNov 16, 2007w150000000.0w82280579.0w195080579
"Dark Shadows"w89wMay 11, 2012w150000000.0w79727149.0w238202668
"White House Down"w90wJun 28, 2013w150000000.0w73103784.0w205440387
The Wolfmanw91wFeb 12, 2010w150000000.0w62189884.0w142634358
The Great Wallw92wFeb 17, 2017w150000000.0w45157105.0w334486852
Panw93wOct 9, 2015w150000000.0w35088320.0w151525973
Mars Needs Momsw94wMar 11, 2011w150000000.0w21392758.0w39549758
Moonfallw95wDec 31, 2020w150000000.0w0.0w0
"Flushed Away"w96wNov 3, 2006w149000000.0w64665672.0w179357126
Madagascar 3: Europe's Most Wantedw97wJun 8, 2012w145000000.0w216391482.0w746921271
Mission: ImpossibleâGhost Protocolw98wDec 16, 2011w145000000.0w209397903.0w694713230
"How to Train Your Dragon 2"w99wJun 13, 2014w145000000.0w177002924.0w614586270
Tarzanw100wJun 16, 1999w145000000.0w171091819.0w448191819
Mr. Peabody & Shermanw1wMar 7, 2014w145000000.0w111506430.0w269806430
Rise of the Guardiansw2wNov 21, 2012w145000000.0w103412758.0w306900902
Saharaw3wApr 8, 2005w145000000.0w68671925.0w121671925
Ghostbustersw4wJul 15, 2016w144000000.0w128350574.0w229008658
Die Another Dayw5wNov 22, 2002w142000000.0w160942139.0w431942139
Pirates of the Caribbean: The Curse of the Black Pearlw6wJul 9, 2003w140000000.0w305411224.0w634954103
Star Trekw7wMay 8, 2009w140000000.0w257730019.0w386839614
Armageddonw8wJul 1, 1998w140000000.0w201578182.0w554600000
Men in Black 2w9wJul 3, 2002w140000000.0w190418803.0w441767803
Captain America: The First Avengerw10wJul 22, 2011w140000000.0w176654505.0w370569776
Kung Fu Panda 3w11wJan 29, 2016w140000000.0w143528619.0w517599142
Lethal Weapon 4w12wJul 10, 1998w140000000.0w130444603.0w285400000
G.I. Joe: Retaliationw13wMar 27, 2013w140000000.0w122523060.0w375740705
The Last Samuraiw14wDec 5, 2003w140000000.0w111110575.0w456810575
Fun With Dick And Janew15wDec 21, 2005w140000000.0w110550000.0w203018919
Exodus: Gods and Kingsw16wDec 12, 2014w140000000.0w65014513.0w268314513
The BFGw17wJul 1, 2016w140000000.0w55483770.0w199646680
Gods of Egyptw18wFeb 26, 2016w140000000.0w31153464.0w138836756
Spider-Manw19wMay 3, 2002w139000000.0w403706375.0w821706375
Watchmenw20wMar 6, 2009w138000000.0w107509799.0w186976250
Stealthw21wJul 29, 2005w138000000.0w32116746.0w76416746
The Incredible Hulkw22wJun 13, 2008w137500000.0w134806913.0w265573859
Hulkw23wJun 20, 2003w137000000.0w132177234.0w245075434
Final Fantasy: The Spirits Withinw24wJul 11, 2001w137000000.0w32131830.0w85131830
"The Twilight Saga: Breaking Dawn, Part 2"w25wNov 16, 2012w136200000.0w292324737.0w829724737
The Croodsw26wMar 22, 2013w135000000.0w187168425.0w573068425
The Revenantw27wDec 25, 2015w135000000.0w183637894.0w532938302
The World is Not Enoughw28wNov 19, 1999w135000000.0w126930660.0w361730660
Rangow29wMar 4, 2011w135000000.0w123477607.0w245724600
Master and Commander: The Far Side of the Worldw30wNov 14, 2003w135000000.0w93926386.0w212912137
Turbow31wJul 17, 2013w135000000.0w83028130.0w286896578
