moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
"Deuce Bigalow: Male Gigolo"w72wDec 10, 1999w18000000.0w65535067.0w92935067
Barbershop 2: Back in Businessw73wJan 1, 2004w18000000.0w65070412.0w65842412
The Family Stonew74wDec 16, 2005w18000000.0w60062868.0w92357499
Bad Santaw75wNov 26, 2003w18000000.0w60060328.0w77147031
Predatorw76wJun 12, 1987w18000000.0w59735548.0w98267558
My Big Fat Greek Wedding 2w77wMar 25, 2016w18000000.0w59689605.0w92096558
The Perfect Guyw78wSep 11, 2015w18000000.0w57027435.0w60278166
"Austin Powers: International Man of Mystery"w79wMay 2, 1997w18000000.0w53883989.0w67683989
Diary of a Wimpy Kid: Rodrick Rulesw80wMar 25, 2011w18000000.0w52698535.0w73695194
Amadeusw81wSep 19, 1984w18000000.0w51973029.0w51973029
Prom Nightw82wApr 11, 2008w18000000.0w43869350.0w57193655
Soul Surferw83wApr 8, 2011w18000000.0w43853424.0w47158652
Under the Tuscan Sunw84wSep 26, 2003w18000000.0w43601508.0w57490024
"Uncle Drew"w85wJun 29, 2018w18000000.0w42469946.0w46527161
Birdman or (The Unexpected Virtue of Ignorance)w86wOct 17, 2014w18000000.0w42340598.0w103215094
Peggy Sue Got Marriedw87wOct 10, 1986w18000000.0w41382841.0w41382841
Gosford Parkw88wDec 26, 2001w18000000.0w41300105.0w41300105
Orange Countyw89wJan 11, 2002w18000000.0w41059716.0w43308707
Blue Jasminew90wJul 26, 2013w18000000.0w33404871.0w102912961
United 93w91wApr 28, 2006w18000000.0w31567134.0w77635035
Honeyw92wDec 5, 2003w18000000.0w30272254.0w62646763
The Fogw93wOct 14, 2005w18000000.0w29511112.0w37048526
Spy Hardw94wMay 24, 1996w18000000.0w26936265.0w26936265
Ricki and the Flashw95wAug 7, 2015w18000000.0w26839498.0w41166033
Gloryw96wDec 13, 1989w18000000.0w26593580.0w26593580
Conan the Destroyerw97wJun 29, 1984w18000000.0w26400000.0w26400000
Love the Coopersw98wNov 13, 2015w18000000.0w26302731.0w42227490
Catch-22w99wJun 24, 1970w18000000.0w24911670.0w24911670
Observe and Reportw100wApr 10, 2009w18000000.0w24007324.0w27148898
Raging Bullw1wNov 14, 1980w18000000.0w23380203.0w23380203
Love Happensw2wSep 18, 2009w18000000.0w22965110.0w36133014
Famew3wSep 25, 2009w18000000.0w22455510.0w80227619
The Circlew4wApr 28, 2017w18000000.0w20497844.0w40651864
Young Sherlock Holmesw5wDec 4, 1985w18000000.0w19739000.0w19739000
127 Hoursw6wNov 5, 2010w18000000.0w18335230.0w60217171
Small Time Crooksw7wMay 19, 2000w18000000.0w17266359.0w29934477
Center Stagew8wMay 12, 2000w18000000.0w17200925.0w21361109
Norm of the Northw9wJan 15, 2016w18000000.0w17062499.0w30535660
Catch That Kidw10wFeb 6, 2004w18000000.0w16703799.0w16959614
Jobsw11wAug 16, 2013w18000000.0w16131410.0w43402515
Life as a Housew12wOct 26, 2001w18000000.0w15652637.0w23889158
Youth in Revoltw13wJan 8, 2010w18000000.0w15285588.0w19685588
And So It Goesw14wJul 25, 2014w18000000.0w15160801.0w17920013
I Love You, Beth Cooperw15wJul 10, 2009w18000000.0w14800725.0w16382538
"Blow Out"w16wJul 24, 1981w18000000.0w13747234.0w13747234
The Tailor of Panamaw17wMar 30, 2001w18000000.0w13491653.0w27491653
The Legend of the Lone Rangerw18wMay 22, 1981w18000000.0w13400000.0w13400000
Labor Dayw19wJan 31, 2014w18000000.0w13371528.0w14189810
"Getaway"w20wAug 30, 2013w18000000.0w10501938.0w11813989
The Ice Stormw21wSep 26, 1997w18000000.0w8038061.0w16011975
Being Juliaw22wOct 15, 2004w18000000.0w7739049.0w14488705
Troop Beverly Hillsw23wMar 22, 1989w18000000.0w7190505.0w7190505
Nine 1/2 Weeksw24wFeb 21, 1986w18000000.0w6734844.0w6734844
The Last Stationw25wJan 15, 2010w18000000.0w6617867.0w15696146
Dragonslayerw26wJun 26, 1981w18000000.0w6000000.0w6000000
Ed Woodw27wSep 30, 1994w18000000.0w5828466.0w5828466
Mongolw28wJun 6, 2008w18000000.0w5705761.0w27147349
RocknRollaw29wOct 8, 2008w18000000.0w5700626.0w27794339
Megaforcew30wJun 25, 1982w18000000.0w5675599.0w5675599
Mao's Last Dancerw31wAug 20, 2010w18000000.0w4806750.0w25941437
Hamletw32wDec 25, 1996w18000000.0w4501094.0w7129670
"The Railway Man"w33wApr 11, 2014w18000000.0w4438438.0w23910210
Restorationw34wDec 29, 1995w18000000.0w4100000.0w4100000
Midnight Specialw35wMar 18, 2016w18000000.0w3712282.0w7680250
Miss Sloanew36wNov 25, 2016w18000000.0w3500605.0w7719630
Metallica Through the Neverw37wSep 27, 2013w18000000.0w3419967.0w9082906
Anything Elsew38wSep 19, 2003w18000000.0w3203044.0w13203044
Unforgettablew39wFeb 23, 1996w18000000.0w2483790.0w2483790
T2: Trainspottingw40wMar 17, 2017w18000000.0w2402004.0w42091262
Das Weisse Band: Eine deutsche Kindergeschichtew41wDec 30, 2009w18000000.0w2222862.0w25727044
8 Million Ways to Diew42wApr 25, 1986w18000000.0w1305114.0w1305114
Phantomw43wMar 1, 2013w18000000.0w1034589.0w1199510
The Salton Seaw44wApr 26, 2002w18000000.0w676698.0w676698
The Informersw45wApr 24, 2009w18000000.0w315000.0w315000
One Man's Herow46wSep 24, 1999w18000000.0w229311.0w229311
Carlosw47wOct 15, 2010w18000000.0w145526.0w1619153
Renaissancew48wSep 22, 2006w18000000.0w70644.0w2401413
"I Come with the Rain"w49wDec 31, 2008w18000000.0w0.0w627422
I Am Wrathw50wApr 15, 2016w18000000.0w0.0w309608
Wolvesw51wNov 14, 2014w18000000.0w0.0w94953
Day of the Deadw52wApr 8, 2008w18000000.0w0.0w0
The Princew53wAug 22, 2014w18000000.0w0.0w0
Forsakenw54wFeb 19, 2016w18000000.0w0.0w0
Red Sonjaw55wJun 28, 1985w17900000.0w6905861.0w6908640
Red Lightsw56wJul 13, 2012w17700000.0w49521.0w14518884
Superbadw57wAug 17, 2007w17500000.0w121463226.0w169955142
Madea Goes To Jailw58wFeb 20, 2009w17500000.0w90508336.0w90508336
Step Up 2 the Streetsw59wFeb 14, 2008w17500000.0w58017783.0w148586910
"Hoodwinked"w60wJan 13, 2006w17500000.0w51386611.0w109843390
"Hotel Rwanda"w61wDec 22, 2004w17500000.0w23519128.0w36521223
Beerfestw62wAug 25, 2006w17500000.0w19185184.0w20159316
Black Nativityw63wNov 27, 2013w17500000.0w7018188.0w7285135
City of Ghostsw64wApr 25, 2003w17500000.0w325491.0w325491
Taxi 4w65wDec 31, 2007w17500000.0w0.0w60865364
A Quiet Placew66wApr 6, 2018w17000000.0w188024361.0w334522294
The Othersw67wAug 10, 2001w17000000.0w96522687.0w207765056
Aliensw68wJul 18, 1986w17000000.0w85160248.0w183316455
Letâs Be Copsw69wAug 13, 2014w17000000.0w82390774.0w136890774
"I Know What You Did Last Summer"w70wOct 17, 1997w17000000.0w72250091.0w125250091
My Fair Ladyw71wOct 22, 1964w17000000.0w72000000.0w72071636
"Sideways"w72wOct 22, 2004w17000000.0w71502303.0w109793192
The Best Man Holidayw73wNov 15, 2013w17000000.0w70525195.0w72835710
Friday the 13thw74wFeb 13, 2009w17000000.0w65002019.0w92670237
Pitch Perfectw75wSep 28, 2012w17000000.0w65001093.0w116044347
"Halloween: H2O"w76wAug 5, 1998w17000000.0w55041738.0w55041738
Evil Deadw77wApr 5, 2013w17000000.0w54239856.0w97778356
Jet Li's Herow78wAug 27, 2004w17000000.0w53652140.0w177535958
"Saw 3D"w79wOct 29, 2010w17000000.0w45710178.0w133735284
McFarland, USAw80wFeb 20, 2015w17000000.0w44480275.0w45707924
Almost Christmasw81wNov 11, 2016w17000000.0w42065185.0w42493506
The Hills Have Eyesw82wMar 10, 2006w17000000.0w41778863.0w70355813
40 Days and 40 Nightsw83wMar 1, 2002w17000000.0w37939782.0w95092667
Good Boy!w84wOct 10, 2003w17000000.0w37667746.0w45312217
Smokin' Acesw85wJan 26, 2007w17000000.0w35662731.0w57263440
A Night at the Roxburyw86wOct 2, 1998w17000000.0w30331165.0w30331165
Beastlyw87wMar 4, 2011w17000000.0w27865571.0w38028230
Brooklyn's Finestw88wMar 5, 2010w17000000.0w27163593.0w39233233
Tronw89wJul 9, 1982w17000000.0w26918576.0w26918576
Lottery Ticketw90wAug 20, 2010w17000000.0w24719879.0w24719879
Dickie Roberts: Former Child Starw91wSep 5, 2003w17000000.0w22734486.0w23734486
ATLw92wMar 31, 2006w17000000.0w21170563.0w21170563
Summer Catchw93wAug 24, 2001w17000000.0w19693891.0w19693891
A Simple Planw94wDec 11, 1998w17000000.0w16316273.0w16316273
Larry the Cable Guy: Health Inspectorw95wMar 24, 2006w17000000.0w15680099.0w15680099
Wes Craven Presents: Theyw96wNov 27, 2002w17000000.0w12840842.0w16140842
The Adventures of Elmo in Grouchlandw97wOct 1, 1999w17000000.0w11634458.0w11634458
Superman IV: The Quest for Peacew98wJul 24, 1987w17000000.0w11227824.0w11227824
55 Days at Pekingw99wMay 29, 1963w17000000.0w10000000.0w10000000
My Life in Ruinsw100wJun 5, 2009w17000000.0w8677425.0w20477425
American Dreamzw1wApr 21, 2006w17000000.0w7314027.0w16510971
"How She Move"w2wJan 25, 2008w17000000.0w7070641.0w8607815
Running Scaredw3wFeb 24, 2006w17000000.0w6855137.0w9729088
The Apparitionw4wAug 24, 2012w17000000.0w4936819.0w10637281
Bobby Jones: Stroke of Geniusw5wApr 30, 2004w17000000.0w2694071.0w2694071
Shanghai Surprisew6wAug 29, 1986w17000000.0w2315000.0w2315000
L'illusionnistew7wDec 25, 2010w17000000.0w2231474.0w8609949
Roarw8wJan 1, 1981w17000000.0w2110050.0w2110050
Veronica Guerinw9wOct 17, 2003w17000000.0w1569918.0w9438074
Geniusw10wJun 10, 2016w17000000.0w1361045.0w7265283
Southland Talesw11wNov 14, 2007w17000000.0w275380.0w364607
Escobar: Paradise Lostw12wJun 26, 2015w17000000.0w195792.0w3917679
Mune, le gardien de la lunew13wSep 26, 2017w17000000.0w0.0w14534046
Chasseurs de dragonsw14wJun 23, 2009w17000000.0w0.0w13446115
Damnation Alleyw15wOct 21, 1977w17000000.0w0.0w0
"Crawl"w16wJul 12, 2019w17000000.0w0.0w0
The Young Messiahw17wMar 11, 2016w16800000.0w6469813.0w7313697
FUR: An Imaginary Portrait of Diane Arbusw18wNov 10, 2006w16800000.0w223202.0w2281089
My Girlw19wNov 27, 1991w16500000.0w58011485.0w58011485
Wall Streetw20wDec 11, 1987w16500000.0w43848100.0w43848100
Sense and Sensibilityw21wDec 11, 1995w16500000.0w42993774.0w134993774
The Illusionistw22wAug 18, 2006w16500000.0w39868642.0w83792062
Becoming Janew23wAug 3, 2007w16500000.0w18663911.0w39380876
House of Sand and Fogw24wDec 19, 2003w16500000.0w13005485.0w16157923
Sydney Whitew25wSep 21, 2007w16500000.0w11892415.0w13636339
Arn - Tempelriddarenw26wDec 31, 2007w16500000.0w0.0w21404122
Dead Poets Societyw27wJun 2, 1989w16400000.0w95860116.0w239500000
Dumb & Dumberw28wDec 16, 1994w16000000.0w127175374.0w246400000
When Harry Met Sallyâ¦w29wJul 14, 1989w16000000.0w92823546.0w92961960
Road Tripw30wMay 19, 2000w16000000.0w68525609.0w119739110
The Verdictw31wDec 8, 1982w16000000.0w53977250.0w53977250
Varsity Bluesw32wJan 15, 1999w16000000.0w52894169.0w54294169
Moonrise Kingdomw33wMay 25, 2012w16000000.0w45512466.0w68848446
The Artistw34wNov 25, 2011w16000000.0w44667095.0w128256712
The Unbornw35wJan 9, 2009w16000000.0w42670410.0w78208812
The Master of Disguisew36wAug 2, 2002w16000000.0w40363530.0w40363530
"The Texas Chainsaw Massacre: The Beginning"w37wOct 6, 2006w16000000.0w39517763.0w50517763
El Laberinto del Faunow38wDec 29, 2006w16000000.0w37634615.0w87041569
The Roommatew39wFeb 4, 2011w16000000.0w37300107.0w52545707
The Messengersw40wFeb 2, 2007w16000000.0w35374833.0w53774833
See Spot Runw41wMar 2, 2001w16000000.0w33357476.0w43057552
Double Impactw42wAug 9, 1991w16000000.0w29090445.0w29090445
Baby Boyw43wJun 27, 2001w16000000.0w28734552.0w28734552
Joe Dirtw44wApr 11, 2001w16000000.0w27087695.0w30987695
The Womenw45wSep 12, 2008w16000000.0w26902075.0w50103808
Hot Fuzzw46wApr 20, 2007w16000000.0w23618786.0w81742618
Vicky Cristina Barcelonaw47wAug 15, 2008w16000000.0w23216709.0w104504817
Boys and Girlsw48wJun 16, 2000w16000000.0w21799652.0w21799652
Superflyw49wJun 13, 2018w16000000.0w20537137.0w20723581
LÃ©onw50wNov 18, 1994w16000000.0w19284974.0w45284974
Remember Mew51wMar 12, 2010w16000000.0w19068240.0w56506120
White Oleanderw52wOct 11, 2002w16000000.0w16357770.0w21657770
Jennifer's Bodyw53wSep 18, 2009w16000000.0w16204793.0w31943401
"Drowning Mona"w54wMar 3, 2000w16000000.0w15427192.0w15980376
Radio Daysw55wJan 30, 1987w16000000.0w14792779.0w14792779
"How to Deal"w56wJul 18, 2003w16000000.0w14108518.0w14108518
Left Behindw57wOct 3, 2014w16000000.0w14019924.0w20769209
Soul Planew58wMay 28, 2004w16000000.0w13922211.0w14553807
My Stepmother Is an Alienw59wDec 9, 1988w16000000.0w13854000.0w13854000
People Like Usw60wJun 29, 2012w16000000.0w12431792.0w12617472
The Thirteenth Floorw61wMay 28, 1999w16000000.0w11810854.0w11810854
The Cookoutw62wSep 3, 2004w16000000.0w11540112.0w11540112
Meteorw63wOct 19, 1979w16000000.0w8400000.0w8400000
Highlanderw64wMar 7, 1986w16000000.0w5900000.0w12900000
Bleed for Thisw65wNov 18, 2016w16000000.0w5083906.0w6603926
"Hollywood Ending"w66wMay 3, 2002w16000000.0w4839383.0w14839383
Duetsw67wSep 15, 2000w16000000.0w4734235.0w6615452
Detroit Rock Cityw68wAug 13, 1999w16000000.0w4217115.0w5825314
Things We Lost in the Firew69wOct 19, 2007w16000000.0w3287315.0w8120148
The Homesmanw70wNov 14, 2014w16000000.0w2429989.0w8217571
Trancew71wApr 5, 2013w16000000.0w2322593.0w22594052
The Immigrantw72wMay 16, 2014w16000000.0w2013456.0w7585011
Steelw73wAug 15, 1997w16000000.0w1686429.0w1686429
The White Countessw74wDec 21, 2005w16000000.0w1669971.0w2814566
Bienvenue chez les Ch'tisw75wJul 25, 2008w16000000.0w1477650.0w247474497
Men, Women and Childrenw76wOct 1, 2014w16000000.0w705908.0w1685403
Enter the Voidw77wSep 24, 2010w16000000.0w337997.0w1467278
Goodw78wDec 31, 2008w16000000.0w31631.0w31631
Vampsw79wNov 2, 2012w16000000.0w3361.0w94812
Haeundaew80wMay 11, 2010w16000000.0w0.0w64733391
Hachiko: A Dog's Storyw81wMar 9, 2010w16000000.0w0.0w47707417
Zuluw82wDec 31, 2013w16000000.0w0.0w1844228
Second Actw83wDec 21, 2018w15700000.0w39282227.0w63288854
"Juwanna Mann"w84wJun 21, 2002w15600000.0w13571817.0w13771817
La MÃ´mew85wJun 8, 2007w15500000.0w10299782.0w88611837
Araratw86wNov 15, 2002w15500000.0w1693000.0w1693000
"Slow Burn"w87wApr 13, 2007w15500000.0w1237615.0w1237615
Madisonw88wApr 22, 2005w15500000.0w517262.0w517262
"The Yellow Handkerchief"w89wFeb 26, 2010w15500000.0w318623.0w318623
Wasabiw90wSep 27, 2002w15300000.0w81525.0w7000000
Slitherw91wMar 31, 2006w15250000.0w7802450.0w12930343
Home Alonew92wNov 16, 1990w15000000.0w285761243.0w476684675
Beverly Hills Copw93wDec 5, 1984w15000000.0w234760478.0w316300000
Top Gunw94wMay 16, 1986w15000000.0w179800601.0w356799634
Tootsiew95wDec 17, 1982w15000000.0w177200000.0w177200000
3 Men and a Babyw96wNov 25, 1987w15000000.0w167780960.0w167780960
The Kingâs Speechw97wNov 26, 2010w15000000.0w138797449.0w430821168
American Beautyw98wSep 15, 1999w15000000.0w130058047.0w356258047
Crouching Tiger, Hidden Dragonw99wDec 8, 2000w15000000.0w128067808.0w213514672
"Twins"w100wDec 9, 1988w15000000.0w111936388.0w216600000
Screamw1wDec 20, 1996w15000000.0w103046663.0w173046663
Annabelle: Creationw2wAug 11, 2017w15000000.0w102092201.0w305384865
Jackass Presents: Bad Grandpaw3wOct 25, 2013w15000000.0w102003019.0w160903019
Heaven Can Waitw4wJun 28, 1978w15000000.0w98800000.0w98800000
The Color Purplew5wDec 18, 1985w15000000.0w93589701.0w93589701
The Imitation Gamew6wNov 28, 2014w15000000.0w91125143.0w227740463
Beetlejuicew7wMar 30, 1988w15000000.0w73839613.0w73887546
Ben-Hurw8wNov 18, 1959w15000000.0w73000000.0w73259017
Mamaw9wJan 18, 2013w15000000.0w71628180.0w148095566
Private Benjaminw10wOct 10, 1980w15000000.0w69847348.0w69847348
Coal Miner's Daughterw11wMar 7, 1980w15000000.0w67182787.0w67182787
Lethal Weaponw12wMar 6, 1987w15000000.0w65192350.0w120192350
Diary of a Wimpy Kidw13wMar 19, 2010w15000000.0w64003625.0w76954311
National Lampoonâs Vacationw14wJul 29, 1983w15000000.0w61400000.0w61400000
"Halloween"w15wAug 31, 2007w15000000.0w58269151.0w77514401
The Queenw16wSep 30, 2006w15000000.0w56441711.0w128885873
Why Did I Get Married?w17wOct 12, 2007w15000000.0w55204525.0w55934178
The Woman in Blackw18wFeb 3, 2012w15000000.0w54333290.0w128955898
Little Womenw19wDec 21, 1994w15000000.0w50003303.0w50003303
The Deer Hunterw20wJan 1, 1979w15000000.0w50000000.0w50009253
BlacKkKlansmanw21wAug 10, 2018w15000000.0w49275340.0w93017335
When a Stranger Callsw22wFeb 3, 2006w15000000.0w47860214.0w67215435
Big Fat Liarw23wFeb 8, 2002w15000000.0w47811275.0w52461017
Cop Landw24wAug 15, 1997w15000000.0w44906632.0w63706632
Wag the Dogw25wDec 25, 1997w15000000.0w43057470.0w64252038
Snitchw26wFeb 22, 2013w15000000.0w42930462.0w57907734
The Lizzie McGuire Moview27wMay 2, 2003w15000000.0w42734455.0w55534455
Krampusw28wDec 4, 2015w15000000.0w42725475.0w61788393
End of Watchw29wSep 21, 2012w15000000.0w41003371.0w57586606
The Facultyw30wDec 25, 1998w15000000.0w40283321.0w40283321
What's Love Got to Do With Itw31wJun 9, 1993w15000000.0w39100956.0w39100956
Not Another Teen Moview32wDec 14, 2001w15000000.0w37882551.0w62401343
Wildw33wDec 3, 2014w15000000.0w37880356.0w52460543
"Lawrence of Arabia"w34wDec 16, 1962w15000000.0w37495385.0w69995385
The Theory of Everythingw35wNov 7, 2014w15000000.0w35893537.0w123327692
Drivew36wSep 16, 2011w15000000.0w35060689.0w81357930
The Skullsw37wMar 31, 2000w15000000.0w35007180.0w35007180
"Hawaii"w38wOct 10, 1966w15000000.0w34562222.0w34562222
The Favouritew39wNov 23, 2018w15000000.0w34366783.0w94113929
Malibu's Most Wantedw40wApr 18, 2003w15000000.0w34308901.0w34499204
All About Stevew41wSep 4, 2009w15000000.0w33862903.0w40127259
Where the Heart Isw42wApr 28, 2000w15000000.0w33771174.0w40862054
"Halloween 2"w43wAug 28, 2009w15000000.0w33392973.0w38512850
The Last House on the Leftw44wMar 13, 2009w15000000.0w32752215.0w46526243
Because of Winn-Dixiew45wFeb 18, 2005w15000000.0w32647042.0w33508485
The Wedding Datew46wFeb 4, 2005w15000000.0w31726995.0w47175038
The Princess Bridew47wSep 25, 1987w15000000.0w30857000.0w30859628
"Halloween: Resurrection"w48wJul 12, 2002w15000000.0w30259652.0w37659652
The Great Debatersw49wDec 25, 2007w15000000.0w30226144.0w30261293
When the Game Stands Tallw50wAug 22, 2014w15000000.0w30127963.0w30138912
Clash of the Titansw51wJun 12, 1981w15000000.0w30000000.0w44400000
Confessions of a Teenage Drama Queenw52wFeb 20, 2004w15000000.0w29331068.0w33118854
The Object of my Affectionw53wApr 17, 1998w15000000.0w29145924.0w29145924
28 Weeks Laterw54wMay 11, 2007w15000000.0w28638916.0w64232714
Grosse Pointe Blankw55wApr 11, 1997w15000000.0w28084357.0w31070412
Love and Basketballw56wApr 21, 2000w15000000.0w27441122.0w27709625
Home Againw57wSep 8, 2017w15000000.0w27020284.0w37336874
"Book of Shadows: Blair Witch 2"w58wOct 27, 2000w15000000.0w26421314.0w47721314
Boogie Nightsw59wOct 10, 1997w15000000.0w26410771.0w43111725
Ramona and Beezusw60wJul 23, 2010w15000000.0w26167002.0w27469621
The November Manw61wAug 27, 2014w15000000.0w25018119.0w34820335
The Craftw62wMay 3, 1996w15000000.0w24769466.0w55669466
Match Pointw63wDec 28, 2005w15000000.0w23089926.0w87973835
The Remains of the Dayw64wNov 5, 1993w15000000.0w22954968.0w63954968
"Nowhere to Run"w65wJan 15, 1993w15000000.0w22189039.0w52189039
Urban Legends: Final Cutw66wSep 22, 2000w15000000.0w21468807.0w38574362
The Place Beyond the Pinesw67wMar 29, 2013w15000000.0w21403519.0w47011449
Flickaw68wOct 20, 2006w15000000.0w21000147.0w21896367
The Hills Have Eyes IIw69wMar 23, 2007w15000000.0w20804166.0w37466538
Keanuw70wApr 29, 2016w15000000.0w20591853.0w20688141
Country Strongw71wDec 22, 2010w15000000.0w20218921.0w20601987
Tuck Everlastingw72wOct 11, 2002w15000000.0w19161999.0w19344615
The Marinew73wOct 13, 2006w15000000.0w18844784.0w22165608
Disturbing Behaviorw74wJul 24, 1998w15000000.0w17507368.0w19014238
"The Big Lebowski"w75wMar 6, 1998w15000000.0w17498804.0w46189568
A Most Wanted Manw76wJul 25, 2014w15000000.0w17237855.0w36068890
The Hurt Lockerw77wJun 26, 2009w15000000.0w17017811.0w49894223
Eye of the Beholderw78wJan 28, 2000w15000000.0w16500786.0w18260865
"The Man with the Iron Fists"w79wNov 2, 2012w15000000.0w15634090.0w22018988
Firestarterw80wMay 11, 1984w15000000.0w15136870.0w15136870
Miss Balaw81wFeb 1, 2019w15000000.0w14998027.0w15362298
Killing Them Softlyw82wNov 30, 2012w15000000.0w14945541.0w39238443
Freddy Got Fingeredw83wApr 20, 2001w15000000.0w14249005.0w14249005
One Dayw84wAug 19, 2011w15000000.0w13843771.0w59168692
De-Lovelyw85wJun 25, 2004w15000000.0w13337299.0w18524496
Whip Itw86wOct 2, 2009w15000000.0w13077184.0w18889972
The Pirates Who Don't Do Anything: A VeggieTales Moview87wJan 11, 2008w15000000.0w12981269.0w13248444
U2 3Dw88wJan 23, 2008w15000000.0w12898847.0w26170402
Highlander: Endgamew89wSep 1, 2000w15000000.0w12801190.0w12801190
The Founderw90wJan 20, 2017w15000000.0w12786053.0w24403192
"Idlewild"w91wAug 25, 2006w15000000.0w12669914.0w12669914
Confidencew92wApr 25, 2003w15000000.0w12212417.0w12212417
Knockaround Guysw93wOct 11, 2002w15000000.0w11660180.0w12419700
The Musew94wAug 27, 1999w15000000.0w11614954.0w11614954
Barney's Great Adventurew95wApr 3, 1998w15000000.0w11156471.0w11156471
"New York Stories"w96wMar 1, 1989w15000000.0w10763469.0w10763469
Home Friesw97wNov 25, 1998w15000000.0w10513979.0w10513979
Here on Earthw98wMar 24, 2000w15000000.0w10494147.0w10845127
Raise Your Voicew99wOct 8, 2004w15000000.0w10411980.0w14811980
Brazilw100wDec 18, 1985w15000000.0w9929135.0w9932146
The Dark Halfw1wApr 23, 1993w15000000.0w9579068.0w9579068
Black Snake Moanw2wMar 2, 2007w15000000.0w9396870.0w10951153
Dark Bluew3wFeb 21, 2003w15000000.0w9237470.0w12262065
A Mighty Heartw4wJun 22, 2007w15000000.0w9176787.0w19153568
Brainstormw5wSep 30, 1983w15000000.0w8921050.0w8921050
"Queen of Katwe"w6wSep 23, 2016w15000000.0w8874389.0w10055481
Whatever it Takesw7wMar 24, 2000w15000000.0w8735529.0w8735529
Boat Tripw8wMar 21, 2003w15000000.0w8586376.0w14933713
The Importance of Being Earnestw9wMay 22, 2002w15000000.0w8378141.0w8378141
The Love Letterw10wMay 21, 1999w15000000.0w8322608.0w9010980
Hootw11wMay 5, 2006w15000000.0w8117637.0w8224998
In Brugesw12wFeb 8, 2008w15000000.0w7800825.0w34533783
Promised Landw13wJan 4, 2013w15000000.0w7597898.0w12394562
Mulholland Drivew14wOct 8, 2001w15000000.0w7219578.0w20785973
Hotel Artemisw15wJun 8, 2018w15000000.0w6708137.0w12758799
The Rockerw16wAug 20, 2008w15000000.0w6409528.0w8767338
Post Gradw17wAug 21, 2009w15000000.0w6382178.0w6563402
Whatever Worksw18wJun 19, 2009w15000000.0w5306706.0w35106706
"The In Crowd"w19wJul 19, 2000w15000000.0w5217498.0w5217498
Los tres entierros de Melquiades Estradaw20wDec 14, 2005w15000000.0w5027684.0w13454474
Jakob the Liarw21wSep 24, 1999w15000000.0w4956401.0w4956401
Se jiew22wSep 28, 2007w15000000.0w4604982.0w65167430
Kiss Kiss, Bang Bangw23wOct 21, 2005w15000000.0w4235837.0w16829464
Idle Handsw24wApr 30, 1999w15000000.0w4023741.0w4023741
Scouts Guide to the Zombie Apocalypsew25wOct 30, 2015w15000000.0w3703046.0w15554855
Blood and Chocolatew26wJan 26, 2007w15000000.0w3526588.0w6551310
You Will Meet a Tall Dark Strangerw27wSep 22, 2010w15000000.0w3247816.0w34247816
Rock the Kasbahw28wOct 23, 2015w15000000.0w3020665.0w3386153
Never Let Me Gow29wSep 15, 2010w15000000.0w2434652.0w11173718
The Disappointments Roomw30wSep 9, 2016w15000000.0w2423467.0w3503761
The Companyw31wDec 25, 2003w15000000.0w2281585.0w3396508
Transsiberianw32wJul 18, 2008w15000000.0w2203641.0w6379575
Crazy in Alabamaw33wOct 22, 1999w15000000.0w1954202.0w1954202
The Clan of the Cave Bearw34wJan 17, 1986w15000000.0w1953732.0w1953732
The Comedianw35wFeb 3, 2017w15000000.0w1658706.0w1658706
Funny Gamesw36wMar 14, 2008w15000000.0w1294640.0w8200127
Banlieue 13w37wJun 2, 2006w15000000.0w1200216.0w11599903
Felicia's Journeyw38wNov 12, 1999w15000000.0w824295.0w1970268
Metropolisw39wJan 25, 2002w15000000.0w673414.0w1405032
CÃ¬kÃ¨ NiÃ¨ YinniÃ¡ngw40wOct 16, 2015w15000000.0w632542.0w11279884
"Things to Do in Denver when You're Dead"w41wDec 1, 1995w15000000.0w529766.0w529766
The Reluctant Fundamentalistw42wApr 26, 2013w15000000.0w528731.0w528731
The Returnw43wFeb 6, 2004w15000000.0w501752.0w5953886
Buffalo Soldiersw44wJul 25, 2003w15000000.0w353743.0w353743
Steal (Canadian Release)w45wApr 25, 2003w15000000.0w220944.0w220944
Centurionw46wAug 27, 2010w15000000.0w123570.0w7885048
Ong-Bak 2w47wOct 23, 2009w15000000.0w102458.0w7583050
Silent Triggerw48wDec 31, 1996w15000000.0w76382.0w76382
Midnight Meat Trainw49wAug 1, 2008w15000000.0w73548.0w1590246
Winnie Mandelaw50wSep 6, 2013w15000000.0w61847.0w61847
The Son of No Onew51wNov 4, 2011w15000000.0w30680.0w1148578
All the Queen's Menw52wOct 25, 2002w15000000.0w22723.0w22723
The Good Nightw53wOct 5, 2007w15000000.0w22441.0w22441
Khumbaw54wDec 6, 2013w15000000.0w0.0w20898221
"A Few Best Men"w55wMay 5, 2015w15000000.0w0.0w17224539
AutÃ³mataw56wOct 10, 2014w15000000.0w0.0w6775458
Chiamatemi Francesco - Il papa della gentew57wDec 31, 2015w15000000.0w0.0w3925769
Bathoryw58wDec 31, 2008w15000000.0w0.0w3436763
San suk si ginw59wFeb 5, 2010w15000000.0w0.0w2013340
Dungeons & Dragons: Wrath of the Dragon Godw60wDec 31, 2005w15000000.0w0.0w909822
In Dubious Battlew61wFeb 17, 2017w15000000.0w0.0w214182
