moviewidwrelease_datewproduction_budgetwdomestic_grossw"worldwide_gross"
Final Fantasy: The Spirits Withinw24wJul 11, 2001w$137,000,000w$32,131,830w$85,131,830
"The Twilight Saga: Breaking Dawn, Part 2"w25wNov 16, 2012w$136,200,000w$292,324,737w$829,724,737
The Croodsw26wMar 22, 2013w$135,000,000w$187,168,425w$573,068,425
The Revenantw27wDec 25, 2015w$135,000,000w$183,637,894w$532,938,302
The World is Not Enoughw28wNov 19, 1999w$135,000,000w$126,930,660w$361,730,660
Rangow29wMar 4, 2011w$135,000,000w$123,477,607w$245,724,600
Master and Commander: The Far Side of the Worldw30wNov 14, 2003w$135,000,000w$93,926,386w$212,912,137
Turbow31wJul 17, 2013w$135,000,000w$83,028,130w$286,896,578
"Teenage Mutant Ninja Turtles: Out of the Shadows"w32wJun 3, 2016w$135,000,000w$82,051,601w$245,328,374
"Happy Feet Two"w33wNov 18, 2011w$135,000,000w$64,006,466w$157,956,466
Miami Vicew34wJul 28, 2006w$135,000,000w$63,478,838w$163,818,556
The Nutcracker and the Four Realmsw35wNov 2, 2018w$132,900,000w$54,858,851w$170,293,899
War of the Worldsw36wJun 29, 2005w$132,000,000w$234,280,354w$606,836,535
Penguins of Madagascarw37wNov 26, 2014w$132,000,000w$83,350,911w$366,942,531
The Hunger Games: Catching Firew38wNov 22, 2013w$130,000,000w$424,668,047w$864,868,047
Harry Potter and the Prisoner of Azkabanw39wJun 4, 2004w$130,000,000w$249,757,726w$796,907,323
The Bourne Ultimatumw40wAug 3, 2007w$130,000,000w$227,471,070w$444,043,396
Ant-Man and the Waspw41wJul 6, 2018w$130,000,000w$216,648,740w$623,144,660
Kung Fu Pandaw42wJun 6, 2008w$130,000,000w$215,434,591w$631,910,531
Ant-Manw43wJul 17, 2015w$130,000,000w$180,202,163w$518,858,449
Homew44wMar 27, 2015w$130,000,000w$177,397,510w$385,997,896
Mary Poppins Returnsw45wDec 19, 2018w$130,000,000w$171,958,438w$341,528,518
Puss in Bootsw46wOct 28, 2011w$130,000,000w$149,260,504w$554,987,477
Megamindw47wNov 5, 2010w$130,000,000w$148,415,853w$321,887,208
Bad Boys IIw48wJul 18, 2003w$130,000,000w$138,540,870w$273,271,982
Rio 2w49wApr 11, 2014w$130,000,000w$131,538,435w$492,846,291
Saltw50wJul 23, 2010w$130,000,000w$118,311,368w$290,650,494
Noahw51wMar 28, 2014w$130,000,000w$101,200,044w$352,831,065
The Adventures of Tintinw52wDec 21, 2011w$130,000,000w$77,591,831w$373,993,951
After Earthw53wMay 31, 2013w$130,000,000w$60,522,097w$251,499,665
Australiaw54wNov 26, 2008w$130,000,000w$49,554,002w$215,080,810
R.I.P.D.w55wJul 19, 2013w$130,000,000w$33,618,855w$79,076,678
"How to Train Your Dragon: The Hidden World"w56wFeb 22, 2019w$129,000,000w$160,791,800w$519,258,283
"The Twilight Saga: Breaking Dawn, Part 1"w57wNov 18, 2011w$127,500,000w$281,287,133w$689,420,051
Dinosaurw58wMay 19, 2000w$127,500,000w$137,748,063w$356,148,063
Loganw59wMar 3, 2017w$127,000,000w$226,277,068w$615,461,394
Night at the Museum: Secret of the Tombw60wDec 19, 2014w$127,000,000w$113,746,621w$353,756,621
"Harry Potter and the Deathly Hallows: Part II"w61wJul 15, 2011w$125,000,000w$381,193,157w$1,341,693,157
The Hunger Games: Mockingjay - Part 1w62wNov 21, 2014w$125,000,000w$337,135,885w$766,575,131
Harry Potter and the Sorcererâs Stonew63wNov 16, 2001w$125,000,000w$317,871,467w$975,047,606
"Harry Potter and the Deathly Hallows: Part I"w64wNov 19, 2010w$125,000,000w$296,131,568w$960,431,568
The Da Vinci Codew65wMay 19, 2006w$125,000,000w$217,536,138w$767,820,459
X-Men 2w66wMay 2, 2003w$125,000,000w$214,949,694w$406,875,536
Fast Fivew67wApr 29, 2011w$125,000,000w$210,031,325w$630,163,454
